name,ring,quadrant,isNew,description
"🌲 问题树 🆕","trial","方法论","TRUE","比知识树更好 · 从问题出发，驱动任务管理"
"二八原则","trial","方法论","FALSE","80% & 20%，跨界高手 20%*20% = 4%"
"栅格理论","trial","方法论","TRUE","研究、总结、改进基本原则，框架"
"《知道做到》 🆕","trial","方法论","TRUE","信息超载 · 消极过滤 · 缺少跟进、精要主义 · 绿灯思维 · 持续跟进"
"GTD (Getting Things Done)","trial","方法论","FALSE","时间管理经典 · 如何电子化？"
"π 少数派 Power+","trial","方法论","FALSE","少数派出品 <a href=""https://sspai.com/series/70"">Power+ 2.0 - 少数派</a>"
"ZTD (Zen To Do) 简单做","assess","方法论","TRUE","简单版的 GTD <a href=""https://www.mifengtd.cn/articles/the_ultimate_simple_productivity_system_zen_to_done.html"">更简单，更具行动力的终极高效系统：Zen To Done(简易做)</a>"
"碎片化阅读","hold","方法论","FALSE","碎片化阅读根本就不成立，碎片化时间段本来就很累或无法集中精力"
"💻 WebStorm (& Plugins)","adopt","生产力","FALSE","无敌 IDE WebStorm: The Smartest JavaScript IDE · <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/143"">Intellij IDEA/WebStorm 与相关 Plugins 专题 · Issue #143 · JimmyLv/jimmylv.github.io</a>"
"💻📱 Reeder","adopt","生产力","TRUE","离线阅读器 · 还支持Instapaper，可以用于本地保存到 DEVONthink Pro Office"
"💻 Sublime Text (& Packages)","adopt","生产力","FALSE","无敌 Editor · <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/142"">Sublime Packages 专题 · Issue #142 · JimmyLv/jimmylv.github.io</a>"
"💻📱 XMind: ZEN 🆕","adopt","生产力","FALSE","XMind 思维脑图 · 最近出了 Outline 大纲功能 · 备选：MindNode · 速度快，打草稿"
"💻📱 有道词典","adopt","生产力","FALSE","取词/查词、生词本"
"📱 讯飞输入法","adopt","生产力","FALSE","📱上用的是讯飞输入法，语音输入实在太棒 · 最近又出了语音备忘录 · 等它出 💻 macOS 版本"
"📱 GitHawk","adopt","生产力","FALSE","最好的 iOS GitHub 客户端，能够快速查看/编辑 GitHub Issues · 持续迭代中"
"💻📱 NotePlan 🆕","trial","生产力","TRUE","笔记式任务管理 · 结合Sublime插件和TaskPaper共同使用 · <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/341"">纯文本任务管理的终极方案： PlainTasks + NotePlan + TaskPaper · Issue #341 · JimmyLv/jimmylv.github.io</a>"
"💻 TaskPaper 🆕","trial","生产力","TRUE","简单任务管理 · 一页式每日更新 · 透视角度 · 搜索聚焦"
"💻 Anki 🆕","trial","生产力","TRUE","刻意记忆 · 还有记忆曲线 · 跟 MarignNote 相结合"
"💻📱 MarignNote 🆕","trial","生产力","TRUE","最好的阅读学习工具 · 支持思维导图 · 支持导出 Anki 卡片"
"💻📱 Ulysses 🆕","trial","生产力","TRUE","专业的写作软件 · 严肃写作"
"💻 Typora","trial","生产力","FALSE","完美预览+编辑 备选：Markoff · 预览 Markdown 内容（查看 > 编辑）"
"💻 iTerm2 ⏸","trial","生产力","TRUE","最强 Terminal、组合键、History · 但为了减少切换，更加倾向于在 WebStorm 里面直接运行 NPM script"
"💻 得到（平台）","trial","生产力","TRUE","滚雪球读书法 · 倍速👂语音音频，反复听的效果比一遍慢听要好很多"
"💻📱 GoodTask 🆕","trial","生产力","TRUE","跟原生 Reminders 完美搭配的任务管理工具，只做提醒"
"📱 Due 🆕","trial","生产力","TRUE","考虑是否直接废弃 GoodTask，只有真正需要提醒的才放入 Due"
"💻📱 Kindle","trial","生产力","FALSE","最好的阅读工具 · 最快也开始重新使用 Kindle 阅读器，拿到手上真是好轻"
"💻📱 DEVONthink Pro Office 🆕","trial","生产力","TRUE","最强文档管理工具"
"💻📱 Pomotodo ⏹","trial","生产力","FALSE","好用的 TODOs & 番茄"
"💻📱 Forest","trial","生产力","FALSE","游戏化🌲 番茄工作法 · 支持 Chrome 插件"
"💻📱 TickTick/滴答清单 ⏸","trial","生产力","FALSE","万能 Inbox、GTD 工具 => 真的只是「清单」的用法"
